kind	file	line	value	extra
broken_md_link	source_snapshot/_backup_v2_2025-12-10/README.md	81	CODE_REVIEW.md	source_snapshot/_backup_v2_2025-12-10/CODE_REVIEW.md
broken_md_link	source_snapshot/_backup_v2_2025-12-10/README.md	82	ACTION_PLAN_AND_NEXT_STEPS.md	source_snapshot/_backup_v2_2025-12-10/ACTION_PLAN_AND_NEXT_STEPS.md
broken_md_link	source_snapshot/_backup_v2_2025-12-10/README.md	83	APPLICATION_STRUCTURE_AND_MANUAL_FEASIBILITY.md	source_snapshot/_backup_v2_2025-12-10/APPLICATION_STRUCTURE_AND_MANUAL_FEASIBILITY.md
broken_md_link	source_snapshot/_backup_v2_2025-12-10/README.md	84	QUICK_START_GUIDE.md	source_snapshot/_backup_v2_2025-12-10/QUICK_START_GUIDE.md
broken_md_link	source_snapshot/_backup_v2_2025-12-10/README.md	93	CODE_REVIEW.md	source_snapshot/_backup_v2_2025-12-10/CODE_REVIEW.md
broken_md_link	source_snapshot/vendor/laravel/sail/README.md	29	.github/CONTRIBUTING.md	source_snapshot/vendor/laravel/sail/.github/CONTRIBUTING.md
broken_md_link	source_snapshot/vendor/ramsey/collection/README.md	22	CODE_OF_CONDUCT.md	source_snapshot/vendor/ramsey/collection/CODE_OF_CONDUCT.md
broken_md_link	source_snapshot/vendor/ramsey/collection/README.md	42	CONTRIBUTING.md	source_snapshot/vendor/ramsey/collection/CONTRIBUTING.md
broken_md_link	source_snapshot/vendor/ramsey/uuid/README.md	19	CODE_OF_CONDUCT.md	source_snapshot/vendor/ramsey/uuid/CODE_OF_CONDUCT.md
broken_md_link	source_snapshot/vendor/ramsey/uuid/README.md	50	CONTRIBUTING.md	source_snapshot/vendor/ramsey/uuid/CONTRIBUTING.md
broken_md_link	source_snapshot/vendor/monolog/monolog/README.md	45	doc/01-usage.md	source_snapshot/vendor/monolog/monolog/doc/01-usage.md
broken_md_link	source_snapshot/vendor/monolog/monolog/README.md	46	doc/02-handlers-formatters-processors.md	source_snapshot/vendor/monolog/monolog/doc/02-handlers-formatters-processors.md
broken_md_link	source_snapshot/vendor/monolog/monolog/README.md	47	doc/03-utilities.md	source_snapshot/vendor/monolog/monolog/doc/03-utilities.md
broken_md_link	source_snapshot/vendor/monolog/monolog/README.md	48	doc/04-extending.md	source_snapshot/vendor/monolog/monolog/doc/04-extending.md
broken_md_link	source_snapshot/vendor/monolog/monolog/README.md	49	doc/message-structure.md	source_snapshot/vendor/monolog/monolog/doc/message-structure.md
broken_md_link	source_snapshot/vendor/dflydev/dot-access-data/README.md	158	irc://irc.freenode.net/#dflydev	source_snapshot/vendor/dflydev/dot-access-data/irc:/irc.freenode.net
broken_md_link	source_snapshot/vendor/league/commonmark/README.md	13	commonmark-banner.png	source_snapshot/vendor/league/commonmark/commonmark-banner.png
broken_md_link	source_snapshot/vendor/maennchen/zipstream-php/.github/PULL_REQUEST_TEMPLATE.md	3	?expand=1&template=FAILING_TEST.md	source_snapshot/vendor/maennchen/zipstream-php/.github/?expand=1&template=FAILING_TEST.md
broken_md_link	source_snapshot/vendor/maennchen/zipstream-php/.github/PULL_REQUEST_TEMPLATE.md	4	?expand=1&template=FIX.md	source_snapshot/vendor/maennchen/zipstream-php/.github/?expand=1&template=FIX.md
broken_md_link	source_snapshot/vendor/maennchen/zipstream-php/.github/PULL_REQUEST_TEMPLATE.md	5	?expand=1&template=IMPROVEMENT.md	source_snapshot/vendor/maennchen/zipstream-php/.github/?expand=1&template=IMPROVEMENT.md
