old_path,new_path,mapping_type,status,notes
.ci/mergeability_proof.txt,,NONE,MISSING_IN_EXECUTION,
.env,.env,EXACT_RELATIVE_PATH,MAPPED,
.githooks/README.md,,NONE,MISSING_IN_EXECUTION,
.github/workflows/gates.yml,.github/workflows/gates.yml,EXACT_RELATIVE_PATH,MAPPED,
.github/workflows/rag_ci.yml,.github/workflows/rag_ci.yml,EXACT_RELATIVE_PATH,MAPPED,
.github/workflows/security.yml,,NONE,MISSING_IN_EXECUTION,
.pre-commit-config.yaml,,NONE,MISSING_IN_EXECUTION,
ACTION_PLAN_UNCOMMITTED_WORK.md,ACTION_PLAN_UNCOMMITTED_WORK.md,EXACT_RELATIVE_PATH,MAPPED,
ARCH/README.md,ARCH/README.md,EXACT_RELATIVE_PATH,MAPPED,
ARCHIVE/2025-12-26_catalog_pipeline_v1/ARCHIVE_INDEX.md,ARCHIVE/2025-12-26_catalog_pipeline_v1/ARCHIVE_INDEX.md,EXACT_RELATIVE_PATH,MAPPED,
ARCHIVE/2025-12-26_catalog_pipeline_v1/README.md,ARCHIVE/2025-12-26_catalog_pipeline_v1/README.md,EXACT_RELATIVE_PATH,MAPPED,
ARCHIVE/2025-12-26_catalog_pipeline_v1/duplicates/lc1e_outputs/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_normalized_20251226_091423.csv,ARCHIVE/2025-12-26_catalog_pipeline_v1/duplicates/lc1e_outputs/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_normalized_20251226_091423.csv,EXACT_RELATIVE_PATH,MAPPED,
ARCHIVE/2025-12-26_catalog_pipeline_v1/duplicates/lc1e_outputs/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_normalized_20251226_141842.csv,ARCHIVE/2025-12-26_catalog_pipeline_v1/duplicates/lc1e_outputs/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_normalized_20251226_141842.csv,EXACT_RELATIVE_PATH,MAPPED,
ARCHIVE/2025-12-26_catalog_pipeline_v1/duplicates/lc1e_outputs/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_normalized_20251226_144045.csv,ARCHIVE/2025-12-26_catalog_pipeline_v1/duplicates/lc1e_outputs/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_normalized_20251226_144045.csv,EXACT_RELATIVE_PATH,MAPPED,
ARCHIVE/2025-12-26_catalog_pipeline_v1/duplicates/lc1e_outputs/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_normalized_20251226_145040.csv,ARCHIVE/2025-12-26_catalog_pipeline_v1/duplicates/lc1e_outputs/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_normalized_20251226_145040.csv,EXACT_RELATIVE_PATH,MAPPED,
ARCHIVE/2025-12-26_catalog_pipeline_v1/duplicates/profiles/schneider.yml,ARCHIVE/2025-12-26_catalog_pipeline_v1/duplicates/profiles/schneider.yml,EXACT_RELATIVE_PATH,MAPPED,
ARCHIVE/2025-12-26_catalog_pipeline_v1/duplicates/profiles/schneider_contactors.yml,ARCHIVE/2025-12-26_catalog_pipeline_v1/duplicates/profiles/schneider_contactors.yml,EXACT_RELATIVE_PATH,MAPPED,
,ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_logs/logs/final/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_summary_20251226_091423.json,NONE,NEW_IN_EXECUTION,
,ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_logs/logs/final/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_summary_20251226_141842.json,NONE,NEW_IN_EXECUTION,
,ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_logs/logs/final/schneider_Schneider_LC1E_Contactors_FINAL_2025-12-26_summary_20251226_145040.json,NONE,NEW_IN_EXECUTION,
,ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_logs/logs/test/schneider_Schneider_LP1K_TEST1_summary_20251226_124344.json,NONE,NEW_IN_EXECUTION,
,ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_logs/logs/test/schneider_Schneider_LP1K_TEST1_summary_20251226_125157.json,NONE,NEW_IN_EXECUTION,
,ARCHIVE/2025-12-26_catalog_pipeline_v1/evidence_runs/catalog_pipeline_logs/logs/test/schneider_Schneider_LP1K_TEST1_summary_20251226_125222.json,NONE,NEW_IN_EXECUTION,
